Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ACTIVE_PICKGUARD.PrjPcb|ReportField=ProjectFullPath~C:\eli\Dropbox\ACTIVE_PICKGUARD\SCH\PICKGUARD\ACTIVE_PICKGUARD.PrjPcb|ReportField=Title~BOM For Project [ACTIVE_PICKGUARD.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~340|ReportField=ReportTime~6:49:57 AM|ReportField=ReportDate~8/26/2011|ReportField=ReportDateTime~8/26/2011 6:49:57 AM|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~8/26/2011|ReportField=CurrentTime~6:49:43 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\eli\Dropbox\ACTIVE_PICKGUARD\SCH\PICKGUARD\ActivePickguard.SchDoc|ReportField=DocumentName~ActivePickguard.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~8/22/2011|ReportField=Organization~|ReportField=ProjectName~ACTIVE_PICKGUARD.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~12|ReportField=Time~|ReportField=Title~MPMC Proto 1|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~ACTIVE_PICKGUARD.PrjPcb|ReportField=DataSourceFullPath~C:\eli\Dropbox\ACTIVE_PICKGUARD\SCH\PICKGUARD\ACTIVE_PICKGUARD.PrjPcb
CAP CER .1UF 50V 10% X7R 0603|C1, C2, C3, C4, C6, C12, C13, C15, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C47, C48, C49, C61, C63, C64, C65, C66, C67, C77, C78, C81, C82, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C96, C98, C99, C100, C101, C102, C103, C104|C, GRM188R71H104KA93D|Murata Electronics North America|GRM188R71H104KA93D|63|Digi-Key|490-1519-1-ND
CAP CER 47UF 10V X5R 1206|C5, C11|LMK316BJ476ML-T|Taiyo Yuden|LMK316BJ476ML-T|2|Digi-Key|587-1780-1-ND
CAP CER 1.0UF 16V 10% X7R 0805|C7, C10, C14, C16, C17, C18, C59, C60, C62, C68, C69, C70, C71, C74, C75, C76|GRM21BR71C105KA01L|Murata Electronics North America|GRM21BR71C105KA01L|16||
CAP CER 10000PF 25V 10% X7R 0603|C8, C9, C72, C73, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116|C|Murata Electronics North America|GRM188R71E103KA01D|16||
CAP CER 10UF 10V X7R 0805|C43, C45, C79, C80|GRM21BR71A106KE51L|Murata Electronics North America|GRM21BR71A106KE51L|4|Digi-Key|490-3905-2-ND
CAP CER .1UF 25V 10% X7R 0603|C44, C46, C50, C51, C52, C53, C54, C55, C56, C57|GRM188R71E104KA01D|Murata Electronics North America|GRM188R71E104KA01D|10|Digi-Key|490-1524-1-ND
CAP CER 2.2UF 10V 10% X7R 0805|C58|GRM21BR71A225KA01L|Murata Electronics North America|GRM21BR71A225KA01L|1|Digi-Key|490-1696-1-ND
CAP CER 18PF 50V 5% C0G 0603|C83, C84|GRM1885C1H180JA01D|Murata Electronics North America|GRM1885C1H180JA01D|2|Digi-Key|490-1409-1-ND
CAP CER 12PF 50V C0G 5% 0603|C95, C97|C1608C0G1H120J|TDK Corporation|C1608C0G1H120J|2|Digi-Key|445-1270-1-ND
CAP ELECT 47UF 25V VS SMD|C117, C118|EEE-1EA470WP|Panasonic - ECG|EEE-1EA470WP|2|Digi-Key|PCE3908CT-ND
